algorithm,playlist,time
SMS-EMOA,1012303,4608855
NSGA-II,1028016,5024282
NSGA-II,1029555,4738486
SMS-EMOA,1020852,5764132
m-ACO,1004240,412999
NSGA-II,1006747,4247128
NSGA-II,1007204,2858679
NSGA-II,1003719,2166108
SMS-EMOA,1002151,4375987
SMS-EMOA,1003412,4470637
m-ACO,1013737,491179
NOOP,1048873,8424
m-ACO,1003748,4175510
SMS-EMOA,1001935,1071567
NOOP,1010329,5647
NSGA-II,1009171,2884372
m-ACO,1003324,433514
m-ACO,1021707,317883
SMS-EMOA,1046641,5452610
NSGA-II,1000219,946915
NSGA-II,1004704,3469318
NSGA-II,1016871,2870575
SMS-EMOA,1000112,2108976
SMS-EMOA,1001451,1146768
NSGA-II,1042057,2135051
NOOP,1012069,5073
NOOP,1032884,8604
SMS-EMOA,1006928,5806665
SMS-EMOA,1003976,1998801
NSGA-II,1041833,2079312
NOOP,1013098,8359
SMS-EMOA,1008313,4333070
SMS-EMOA,1009650,11486923
SMS-EMOA,1012729,5596108
NSGA-II,1003492,2129613
NOOP,1031684,8619
SMS-EMOA,1024965,5460331
NSGA-II,1032006,3340458
NOOP,1003214,4957
NOOP,1003201,3170
NSGA-II,1003333,2159334
NSGA-II,1002670,3283244
NSGA-II,1012383,3108084
SMS-EMOA,1003038,5133990
SMS-EMOA,1007525,4462036
NOOP,1002908,5847
SMS-EMOA,1003799,3403732
NSGA-II,1012422,2803685
SMS-EMOA,1007284,3273363
SMS-EMOA,1005802,5598717
NSGA-II,1022254,2713569
m-ACO,1018960,370481
SMS-EMOA,1034962,3543715
SMS-EMOA,1006592,6034780
NSGA-II,1012677,2680360
NSGA-II,1013334,2628782
NOOP,1005673,3701
m-ACO,1003781,487559
NOOP,1007882,6140
SMS-EMOA,1006233,2191280
NSGA-II,1003166,3245322
NSGA-II,1002425,3282387
NOOP,1001555,3272
m-ACO,1040868,272581
NSGA-II,1006138,5476344
m-ACO,1008958,3224632
NSGA-II,1033710,6495035
NOOP,1001540,4283
m-ACO,1009853,7066586
NSGA-II,1028669,4490698
NSGA-II,1002384,3325079
NSGA-II,1000902,1080490
SMS-EMOA,1008146,4212594
SMS-EMOA,1009405,2447182
NSGA-II,1006699,4014527
m-ACO,1005382,448305
NOOP,1029026,8263
NOOP,1041108,8122
m-ACO,1004795,198842
SMS-EMOA,1001604,1784490
NSGA-II,1004551,2866681
NSGA-II,1005012,2531545
SMS-EMOA,1013971,4816536
m-ACO,1012785,475113
NOOP,1003049,8232
NOOP,1004682,5548
NSGA-II,1006876,4175924
NSGA-II,1003828,3234940
m-ACO,1002396,3740970
NOOP,1006873,7629
NOOP,1006866,5848
NSGA-II,1001023,912120
SMS-EMOA,1009867,5126076
m-ACO,1015010,354050
NOOP,1002437,5275
SMS-EMOA,1027897,5064474
NSGA-II,1001782,3409957
NOOP,1002422,7644
NSGA-II,1002847,2159929
m-ACO,1001869,3309941
SMS-EMOA,1014124,4829192
NOOP,1008758,6594
NOOP,1011356,5280
m-ACO,1002567,3714389
SMS-EMOA,1005194,5627892
m-ACO,1038680,410478
NSGA-II,1010732,2843015
SMS-EMOA,1001489,1121661
m-ACO,1013413,492603
SMS-EMOA,1005635,5463563
SMS-EMOA,1004376,5951766
NOOP,1006704,5899
SMS-EMOA,1001328,1810907
NSGA-II,1010093,2766304
m-ACO,1003000,4286850
SMS-EMOA,1035043,3668380
NOOP,1005911,4019
NSGA-II,1007157,2870137
SMS-EMOA,1009688,13266699
m-ACO,1024832,476731
SMS-EMOA,1011834,4657255
NSGA-II,1002109,3256712
m-ACO,1002417,1880028
m-ACO,1012004,380101
m-ACO,1007976,6246779
NSGA-II,1004933,2610338
SMS-EMOA,1012050,7160837
NSGA-II,1008761,3618514
m-ACO,1004478,4929744
m-ACO,1011966,471427
SMS-EMOA,1000884,1629329
NSGA-II,1009583,2828070
m-ACO,1001919,1263606
SMS-EMOA,1033137,3624048
NOOP,1004218,3333
m-ACO,1026437,460855
SMS-EMOA,1036169,5715068
m-ACO,1003137,4219535
NOOP,1001387,10135
NOOP,1001392,7086
NOOP,1006559,6374
NOOP,1039478,8689
SMS-EMOA,1003514,3558505
m-ACO,1002450,1853369
NSGA-II,1009077,3229886
NSGA-II,1008534,3469258
m-ACO,1013524,499138
SMS-EMOA,1001833,1494794
SMS-EMOA,1013746,2710431
SMS-EMOA,1012205,7322999
SMS-EMOA,1010883,4673439
m-ACO,1000855,1962478
m-ACO,1005158,377340
m-ACO,1004053,227879
NSGA-II,1006641,4156062
NSGA-II,1007302,2813253
NSGA-II,1005984,7348241
NOOP,1048158,8210
m-ACO,1005534,393469
NSGA-II,1046066,2012048
m-ACO,1037474,484959
m-ACO,1004123,422568
NSGA-II,1043038,2147106
m-ACO,1005028,456290
m-ACO,1026500,357139
NSGA-II,1012840,2652467
NOOP,1004050,5414
SMS-EMOA,1005460,5734406
SMS-EMOA,1004123,3215391
m-ACO,1005444,445594
NOOP,1013417,14488
NSGA-II,1043799,2053795
SMS-EMOA,1002919,4560316
NSGA-II,1010567,2720016
NSGA-II,1011024,3066176
SMS-EMOA,1004682,6480746
SMS-EMOA,1007947,4739504
NSGA-II,1004589,2906248
m-ACO,1007841,6188287
NSGA-II,1000094,2156816
NOOP,1038489,8374
NOOP,1000363,5126
m-ACO,1020103,338131
NSGA-II,1000735,911688
m-ACO,1013454,427673
NOOP,1030917,8644
m-ACO,1002520,1936859
SMS-EMOA,1036716,3517334
SMS-EMOA,1018047,5645620
NOOP,1009850,3964
SMS-EMOA,1006160,4356572
NSGA-II,1010803,2737928
NSGA-II,1012285,2589626
m-ACO,1036481,416962
NSGA-II,1003594,2148702
SMS-EMOA,1008215,3206610
SMS-EMOA,1009756,4327832
m-ACO,1038739,430343
NSGA-II,1003235,3291606
NSGA-II,1002776,3287273
NOOP,1002023,5437
NSGA-II,1007728,2837509
NSGA-II,1032100,7328404
NOOP,1002036,7008
SMS-EMOA,1024863,5286043
SMS-EMOA,1000014,2084250
SMS-EMOA,1001557,1642925
NSGA-II,1013929,1834364
SMS-EMOA,1004509,6014748
NSGA-II,1008850,3969154
NOOP,1004619,7759
SMS-EMOA,1049171,5249093
SMS-EMOA,1003870,3229666
m-ACO,1038225,411082
NOOP,1040177,8199
NSGA-II,1004602,2890696
NSGA-II,1005341,2672072
NSGA-II,1002999,3294029
m-ACO,1002185,1986192
