algorithm,playlist,time
SMS-EMOA,1012748,5509703
SMS-EMOA,1027160,5450686
NOOP,1016942,8144
NSGA-II,1002611,3282312
NSGA-II,1003352,3274145
m-ACO,1039122,481676
NOOP,1035442,8082
SMS-EMOA,1003059,4688344
SMS-EMOA,1018120,5539402
SMS-EMOA,1006007,5506774
SMS-EMOA,1007544,4395656
NOOP,1010480,11797
NOOP,1022010,8155
NSGA-II,1012443,3015053
SMS-EMOA,1005863,6117362
m-ACO,1042129,423067
NOOP,1006023,4952
NSGA-II,1005587,3508957
SMS-EMOA,1010480,5014300
NSGA-II,1000278,1088374
NOOP,1011464,5519
SMS-EMOA,1039909,2351146
m-ACO,1031385,368935
NOOP,1028887,8890
NSGA-II,1008937,2440457
NOOP,1002305,9214
SMS-EMOA,1001430,1079903
SMS-EMOA,1000173,1068106
SMS-EMOA,1006949,6169000
NSGA-II,1015074,2344754
m-ACO,1027395,420963
SMS-EMOA,1003917,3142840
NSGA-II,1011569,3075081
m-ACO,1008900,3269159
m-ACO,1046818,408305
SMS-EMOA,1000487,1499441
m-ACO,1002695,3687013
NSGA-II,1015221,2588531
NOOP,1040019,8216
SMS-EMOA,1032877,3985841
SMS-EMOA,1001665,1277569
NOOP,1000451,4185
SMS-EMOA,1005378,5789229
NOOP,1000444,6593
m-ACO,1012286,469866
NSGA-II,1039857,6765581
NOOP,1006986,10105
NSGA-II,1005073,2695748
NSGA-II,1004530,1701969
NOOP,1006993,13423
SMS-EMOA,1008869,4813730
SMS-EMOA,1013910,4555613
NOOP,1004762,6558
NSGA-II,1006817,2326461
NSGA-II,1004291,2606847
m-ACO,1004296,401970
NSGA-II,1003849,3249282
SMS-EMOA,1011437,4290660
NOOP,1004777,6883
m-ACO,1005681,365342
m-ACO,1008837,3236877
SMS-EMOA,1006252,6039086
NOOP,1005793,4709
NSGA-II,1002444,3364466
SMS-EMOA,1008686,4518655
NSGA-II,1006159,7171581
m-ACO,1003282,420298
SMS-EMOA,1009464,4943860
SMS-EMOA,1012006,4908845
SMS-EMOA,1013545,7045429
m-ACO,1006770,416643
NOOP,1010351,5513
NSGA-II,1004965,2568995
m-ACO,1007217,3268597
NSGA-II,1006442,4028942
NOOP,1007703,4790
m-ACO,1001614,3809668
SMS-EMOA,1006749,5968041
SMS-EMOA,1002254,4118653
NSGA-II,1027284,4833548
NOOP,1014062,7913
m-ACO,1010760,475997
m-ACO,1000373,10616405
m-ACO,1001278,5588192
NSGA-II,1026066,4500093
m-ACO,1032233,387206
NOOP,1042089,8215
NOOP,1012658,6663
NSGA-II,1000297,1147839
NSGA-II,1002811,3337154
m-ACO,1001764,3911216
m-ACO,1001308,4558291
m-ACO,1000203,1978193
SMS-EMOA,1009831,4718574
m-ACO,1048333,426953
NSGA-II,1005568,1750445
SMS-EMOA,1012948,5023952
NSGA-II,1001075,832301
m-ACO,1006600,396668
NOOP,1004903,3326
SMS-EMOA,1004320,5503836
SMS-EMOA,1005663,5782493
NOOP,1004916,67894
NSGA-II,1010764,2700681
SMS-EMOA,1004481,5438511
NOOP,1001139,6798
NOOP,1009517,23138
m-ACO,1000244,2175924
SMS-EMOA,1005397,6088834
SMS-EMOA,1007911,4195423
m-ACO,1011330,8616766
NSGA-II,1011072,2720200
NSGA-II,1010531,2706435
NOOP,1003678,5973
m-ACO,1001723,4063891
NOOP,1001889,3563
m-ACO,1009098,3542360
SMS-EMOA,1004175,3077563
NSGA-II,1010290,2854087
NOOP,1043230,8076
NSGA-II,1000763,806518
NSGA-II,1001220,893778
SMS-EMOA,1014486,3797168
NOOP,1000380,12100
SMS-EMOA,1011379,4296572
NSGA-II,1001581,3147591
m-ACO,1006647,392587
NSGA-II,1038314,5175865
SMS-EMOA,1001865,1515040
NOOP,1001371,12004
NSGA-II,1012158,2716016
NSGA-II,1008562,3429743
m-ACO,1006737,368935
SMS-EMOA,1003542,3328543
m-ACO,1017643,415706
NSGA-II,1006617,3957061
NSGA-II,1003649,3271406
m-ACO,1000334,537125
NOOP,1005042,3226
NOOP,1002689,4449
m-ACO,1000758,1825962
NOOP,1012405,49031
NOOP,1020095,8328
SMS-EMOA,1012253,4639503
SMS-EMOA,1026138,5402622
m-ACO,1001653,3693555
SMS-EMOA,1006878,4930183
SMS-EMOA,1003826,3123518
NOOP,1003031,5169
NSGA-II,1016921,2859787
NSGA-II,1008806,4148927
NOOP,1003024,11432
SMS-EMOA,1000042,2425279
NOOP,1010750,183794
NSGA-II,1005317,2595684
NOOP,1008842,5657
SMS-EMOA,1012896,5041716
SMS-EMOA,1010210,5097851
SMS-EMOA,1011753,4541076
m-ACO,1008571,526599
NOOP,1007302,3823
SMS-EMOA,1020466,5888768
NOOP,1007317,4523
SMS-EMOA,1005952,5686869
NSGA-II,1008148,2805228
NOOP,1001538,3909
SMS-EMOA,1003168,4481225
NSGA-II,1010855,1804607
SMS-EMOA,1006136,5394141
NSGA-II,1002720,3269872
NSGA-II,1003263,2144077
NOOP,1018136,8515
NSGA-II,1002081,3211575
SMS-EMOA,1012679,7226424
NOOP,1000781,4248
NSGA-II,1000852,1017145
NSGA-II,1003797,2162517
m-ACO,1010382,9478738
SMS-EMOA,1009555,4610477
m-ACO,1000791,1975696
NSGA-II,1032303,6093319
m-ACO,1009121,3222354
SMS-EMOA,1041173,5151438
NOOP,1002965,4427
NOOP,1002970,4996
NSGA-II,1002575,3321362
NSGA-II,1006068,7584992
NOOP,1009103,5402
NOOP,1003279,13983
m-ACO,1006392,422183
NOOP,1021465,8624
NOOP,1040824,8575
NOOP,1030618,8493
NOOP,1002288,11982
NOOP,1005443,8793
NOOP,1005456,4619
NSGA-II,1006926,4001243
SMS-EMOA,1010045,4323123
NSGA-II,1003978,3252955
m-ACO,1007785,4802357
NOOP,1012011,4451
NSGA-II,1005142,2412942
NSGA-II,1004401,2575079
NOOP,1012004,4683
SMS-EMOA,1008958,4496423
SMS-EMOA,1013821,4630925
NOOP,1001770,4629
SMS-EMOA,1002891,5179648
SMS-EMOA,1001754,1459294
SMS-EMOA,1005249,4138087
m-ACO,1001386,6050269
m-ACO,1008536,525721
NOOP,1001765,4285
m-ACO,1011795,466958
NOOP,1003994,8018
NOOP,1003981,3791
m-ACO,1002879,166569
m-ACO,1007174,5866422
NOOP,1010197,8041
m-ACO,1003972,4299860
SMS-EMOA,1004226,6057150
NSGA-II,1011480,2774637
SMS-EMOA,1001278,1647071
m-ACO,1006413,422264
m-ACO,1031942,491149
m-ACO,1007518,4777970
NSGA-II,1011321,2740971
NSGA-II,1002917,2346569
NSGA-II,1000391,3061964
m-ACO,1000010,2122045
NSGA-II,1000430,1212336
NSGA-II,1001173,1151250
NOOP,1004028,5104
m-ACO,1010403,7417595
m-ACO,1001577,1559899
m-ACO,1000160,2218223
SMS-EMOA,1003611,3169375
m-ACO,1004966,386413
NSGA-II,1008190,2848763
NOOP,1002612,5828
m-ACO,1011478,8913174
NOOP,1002607,8566
SMS-EMOA,1009079,4605726
SMS-EMOA,1013443,5125704
m-ACO,1003802,3957975
m-ACO,1012976,476828
SMS-EMOA,1023235,5022626
NSGA-II,1007007,4017095
NSGA-II,1006544,3690463
NOOP,1006521,3223
NSGA-II,1002059,3234641
NOOP,1039400,8081
SMS-EMOA,1011964,5879454
NSGA-II,1037671,7944760
m-ACO,1030939,408954
NOOP,1006534,8271
SMS-EMOA,1023594,5520090
SMS-EMOA,1022282,5300008
SMS-EMOA,1045317,5156376
m-ACO,1010534,9884336
NOOP,1004260,3629
m-ACO,1032117,415873
m-ACO,1001440,1938383
NOOP,1013627,7771
m-ACO,1000127,1964358
m-ACO,1009797,6521165
NOOP,1000153,5329
NOOP,1007798,16221
NSGA-II,1008464,3996852
m-ACO,1006524,415554
SMS-EMOA,1001963,1403840
m-ACO,1012931,652956
NSGA-II,1009686,2758817
SMS-EMOA,1003444,4427657
SMS-EMOA,1002107,2043521
NOOP,1005969,5830
m-ACO,1003845,3908146
m-ACO,1016137,408907
NOOP,1017514,8827
SMS-EMOA,1014580,4780852
NSGA-II,1004378,2589357
m-ACO,1006454,379083
NSGA-II,1000665,1022550
NSGA-II,1001326,1269644
SMS-EMOA,1042081,5656383
m-ACO,1007133,75595
m-ACO,1012841,389754
NSGA-II,1011174,3167707
NOOP,1037601,7960
SMS-EMOA,1002849,4701965
NSGA-II,1010437,2807511
m-ACO,1001530,1811864
NOOP,1010827,4127
NOOP,1005291,3170
SMS-EMOA,1007817,5627116
SMS-EMOA,1005291,6035381
m-ACO,1010444,4772152
NOOP,1005284,4538
NSGA-II,1010396,3408619
m-ACO,1000057,2153720
SMS-EMOA,1004073,2984680
SMS-EMOA,1005530,6535887
NSGA-II,1009869,2746465
m-ACO,1004851,239556
SMS-EMOA,1038292,3668972
NSGA-II,1002626,3172639
NSGA-II,1003365,2155224
NSGA-II,1007678,2889786
NSGA-II,1002187,3203365
NOOP,1004429,3928
SMS-EMOA,1009606,11824767
m-ACO,1009719,489561
NOOP,1010583,16535
m-ACO,1008612,3254213
SMS-EMOA,1006030,5647191
NSGA-II,1010953,2680770
m-ACO,1009375,3515287
NSGA-II,1044175,2063799
NOOP,1011567,3818
NSGA-II,1004752,2582965
m-ACO,1009669,4439115
NOOP,1006135,11902
m-ACO,1009205,3185685
m-ACO,1022096,403940
SMS-EMOA,1010316,4525155
NOOP,1006120,5419
NOOP,1015654,8705
NSGA-II,1008900,2855278
SMS-EMOA,1004459,5734273
NOOP,1002206,6053
NOOP,1002213,3321
NSGA-II,1024682,5177254
m-ACO,1008349,5173701
NOOP,1000552,7126
SMS-EMOA,1001652,1248625
SMS-EMOA,1000311,1858667
m-ACO,1005993,387512
m-ACO,1001195,1819600
NSGA-II,1010248,1986883
m-ACO,1008725,3404926
NOOP,1004674,3653
NOOP,1004661,80242
m-ACO,1013983,491604
NSGA-II,1001559,3187986
SMS-EMOA,1013927,4861450
NOOP,1006890,6588
NSGA-II,1005044,2629210
NOOP,1006885,4634
NOOP,1005685,3858
NOOP,1008334,7849
SMS-EMOA,1002778,4353995
SMS-EMOA,1006265,5539022
NOOP,1005690,6705
m-ACO,1002987,344430
NOOP,1007861,9116
NSGA-II,1012621,1747158
m-ACO,1006181,779367
SMS-EMOA,1007087,5336611
NSGA-II,1009758,3123035
SMS-EMOA,1008110,4413971
m-ACO,1000582,6647179
NSGA-II,1003691,2172696
m-ACO,1009332,3268576
SMS-EMOA,1013069,4847486
m-ACO,1008239,5084497
m-ACO,1001489,4043842
m-ACO,1040765,267415
NOOP,1009828,5015
NSGA-II,1003130,2141585
NOOP,1020826,8400
NSGA-II,1006475,3446433
m-ACO,1004517,469710
SMS-EMOA,1012790,4634700
NOOP,1007615,3359
NSGA-II,1004952,2583852
m-ACO,1005070,395795
NOOP,1010252,7272
NOOP,1025009,8225
m-ACO,1014104,493733
m-ACO,1001876,3550017
NOOP,1003533,6557
m-ACO,1002578,3916219
m-ACO,1003473,4251730
NOOP,1003526,7454
SMS-EMOA,1003081,4689388
NSGA-II,1013679,2684146
NOOP,1046941,8472
NSGA-II,1008700,2898374
NSGA-II,1009243,3269348
m-ACO,1030548,413920
SMS-EMOA,1002263,3990331
m-ACO,1031443,357501
m-ACO,1002114,3910139
NSGA-II,1000501,3266747
NSGA-II,1001042,948546
SMS-EMOA,1009806,4407493
NOOP,1005309,3364
m-ACO,1003503,4279425
m-ACO,1002064,4049501
NSGA-II,1002826,2164216
SMS-EMOA,1014145,4611368
NOOP,1015190,8525
NSGA-II,1048127,2100071
m-ACO,1006862,497812
NOOP,1034274,8766
m-ACO,1004467,409096
NSGA-II,1013896,2669165
NSGA-II,1011210,3074036
m-ACO,1011979,696447
NOOP,1004800,11386
SMS-EMOA,1004317,5580016
SMS-EMOA,1005654,6118210
m-ACO,1005100,5237656
SMS-EMOA,1001349,1030437
NSGA-II,1012821,2625092
m-ACO,1003128,221152
SMS-EMOA,1004142,3151650
SMS-EMOA,1005401,5995126
m-ACO,1031574,415399
m-ACO,1017951,407241
m-ACO,1002023,1468255
m-ACO,1003544,4317386
NOOP,1009414,3511
m-ACO,1005147,396477
m-ACO,1036410,475459
SMS-EMOA,1014310,5000037
m-ACO,1001941,1851498
NOOP,1015835,8222
NOOP,1007448,4074
NOOP,1000283,4482
NSGA-II,1004249,2790537
NOOP,1000296,4035
NSGA-II,1003891,3245923
NSGA-II,1001217,882541
SMS-EMOA,1007068,6170270
SMS-EMOA,1003575,3226435
SMS-EMOA,1002036,2297171
NSGA-II,1038482,8925640
m-ACO,1015048,375166
m-ACO,1033801,407360
SMS-EMOA,1001852,1518281
NOOP,1001272,4389
m-ACO,1004550,468508
NOOP,1001267,6412
NSGA-II,1027747,4600673
m-ACO,1002153,1923028
NOOP,1012513,4416
SMS-EMOA,1013727,4537341
m-ACO,1003058,375847
NSGA-II,1006181,7130601
m-ACO,1003434,4272402
m-ACO,1012540,469135
NOOP,1005154,5850
NOOP,1003127,4162
SMS-EMOA,1001536,1353793
SMS-EMOA,1000075,1579910
SMS-EMOA,1004568,6161520
NOOP,1003132,7052
SMS-EMOA,1001297,1549989
NOOP,1006908,3438
NOOP,1007201,6000
NOOP,1038320,8644
SMS-EMOA,1011764,4272178
NOOP,1010646,21438
NOOP,1040082,8350
SMS-EMOA,1006101,5854728
SMS-EMOA,1019565,7502886
NSGA-II,1010862,3170922
SMS-EMOA,1005965,5728094
NSGA-II,1012545,2985791
NOOP,1041073,8235
NOOP,1023232,8167
NOOP,1005708,5026
SMS-EMOA,1016353,5564753
SMS-EMOA,1009737,11119893
NSGA-II,1003254,2151234
SMS-EMOA,1008780,5150491
NSGA-II,1002542,3295850
NSGA-II,1003001,3275955
NOOP,1002866,5173
m-ACO,1042711,346094
SMS-EMOA,1009562,4621522
NOOP,1000697,5140
NSGA-II,1000865,1008625
SMS-EMOA,1027233,8020304
m-ACO,1043276,391058
m-ACO,1012589,411757
NOOP,1000682,5851
NOOP,1007049,4177
SMS-EMOA,1036283,3526377
NSGA-II,1012710,3055152
NSGA-II,1009669,2841766
NSGA-II,1023384,2512848
m-ACO,1044312,401927
m-ACO,1005492,386964
m-ACO,1004599,470224
SMS-EMOA,1002649,4414395
SMS-EMOA,1011290,4519971
NSGA-II,1001468,3208231
NSGA-II,1005175,2595446
NSGA-II,1004436,2563675
NOOP,1012112,4251
NSGA-II,1034240,8348923
m-ACO,1004085,421638
m-ACO,1001988,4003392
SMS-EMOA,1010072,4459320
NSGA-II,1004397,2346328
NOOP,1003882,9462
NSGA-II,1009886,2666742
NOOP,1003897,4356
m-ACO,1012095,409397
SMS-EMOA,1000581,2792038
m-ACO,1043306,419538
SMS-EMOA,1035408,3487674
m-ACO,1002486,1958994
SMS-EMOA,1001763,1039930
SMS-EMOA,1000220,1519867
NOOP,1001673,6002
m-ACO,1029615,411002
m-ACO,1008501,3282067
SMS-EMOA,1007474,4474250
SMS-EMOA,1003169,4851505
NOOP,1004312,3421
NOOP,1004307,8688
SMS-EMOA,1005953,5971877
m-ACO,1009066,3288283
NOOP,1013755,8623
NSGA-II,1031933,3391171
NOOP,1000021,8044
m-ACO,1038934,186546
NSGA-II,1002080,3224404
SMS-EMOA,1012678,5101494
SMS-EMOA,1009701,13135276
NSGA-II,1002721,3664685
NSGA-II,1003262,2159234
SMS-EMOA,1017187,5414078
SMS-EMOA,1003827,3191037
SMS-EMOA,1006879,5802093
m-ACO,1042944,410953
NOOP,1002528,3483
m-ACO,1019505,292145
SMS-EMOA,1020467,7371422
NOOP,1010940,5496
SMS-EMOA,1010211,4366465
NOOP,1008647,5335
NOOP,1035997,8053
NSGA-II,1007990,4004880
NSGA-II,1005316,2589549
NSGA-II,1004655,2859988
NOOP,1020334,8438
SMS-EMOA,1013820,7211301
NSGA-II,1005143,2241937
NSGA-II,1004400,2668788
SMS-EMOA,1008959,4494394
m-ACO,1007685,6167799
NSGA-II,1003979,3281521
NSGA-II,1006927,3909458
NOOP,1013508,8181
NOOP,1001975,5833
m-ACO,1008436,3294611
NOOP,1003791,6144
NOOP,1003784,4705
SMS-EMOA,1001755,1660162
NOOP,1000984,14227
NSGA-II,1002574,3149627
m-ACO,1045917,406077
NSGA-II,1003037,3367566
NOOP,1000991,4028
m-ACO,1000691,8616791
m-ACO,1010282,9029930
NOOP,1002760,5301
SMS-EMOA,1008017,4504410
NSGA-II,1000853,1104894
NOOP,1002775,4607
m-ACO,1040476,391297
m-ACO,1011389,8784144
m-ACO,1008546,3498924
NSGA-II,1022150,2538770
NSGA-II,1013265,2828525
NSGA-II,1012726,2738114
SMS-EMOA,1007180,10729308
NOOP,1006453,4856
NOOP,1001298,4927
NOOP,1006446,3265
SMS-EMOA,1006362,4310873
SMS-EMOA,1007621,4478023
SMS-EMOA,1012949,5029589
NSGA-II,1000537,1127181
NSGA-II,1001074,932064
NOOP,1012848,7296
m-ACO,1000303,8091720
m-ACO,1048233,417054
NSGA-II,1005569,2771687
SMS-EMOA,1017917,7752714
NOOP,1000420,3083
NSGA-II,1000296,1123938
NSGA-II,1002810,3271892
m-ACO,1001664,4099040
m-ACO,1033238,417176
NOOP,1004706,5900
m-ACO,1007267,6019601
SMS-EMOA,1004480,4964272
NOOP,1004713,7691
NSGA-II,1010765,2734787
SMS-EMOA,1035014,3462650
NOOP,1013354,8533
SMS-EMOA,1004321,6090765
SMS-EMOA,1005662,4257084
NSGA-II,1007100,3974903
NSGA-II,1006443,4422926
m-ACO,1007317,4724924
SMS-EMOA,1011863,4960923
m-ACO,1006670,481451
NSGA-II,1004964,2273321
SMS-EMOA,1013544,3015431
m-ACO,1017704,363421
NOOP,1007906,11074
m-ACO,1001378,4466447
m-ACO,1000273,2271861
NSGA-II,1009275,2895369
NSGA-II,1027285,4878625
m-ACO,1033348,409245
SMS-EMOA,1003716,3473205
SMS-EMOA,1002255,4450180
m-ACO,1001714,1971923
SMS-EMOA,1006748,6114285
SMS-EMOA,1003543,3237029
SMS-EMOA,1002000,1529056
NSGA-II,1009020,2861453
NOOP,1003385,5710
SMS-EMOA,1001864,1576056
NSGA-II,1012159,2703650
m-ACO,1007350,4724558
NOOP,1003390,8846
m-ACO,1001753,1423735
NOOP,1002899,7308
NSGA-II,1035804,7986938
SMS-EMOA,1012252,2766506
SMS-EMOA,1008668,4465022
m-ACO,1009484,3499311
m-ACO,1000234,2655962
NSGA-II,1003648,3279152
NOOP,1000668,8681
m-ACO,1011340,8588059
NSGA-II,1010291,2851444
SMS-EMOA,1000469,1481500
SMS-EMOA,1004174,3185850
m-ACO,1010757,458771
SMS-EMOA,1005437,4417727
m-ACO,1001623,3642925
SMS-EMOA,1035241,3694828
m-ACO,1032718,411509
NSGA-II,1011073,2791485
NOOP,1006047,6253
SMS-EMOA,1005396,5437846
m-ACO,1000344,9776149
NOOP,1001699,14872
m-ACO,1006747,386053
NOOP,1002374,5520
NOOP,1002361,7968
NSGA-II,1001221,962802
NSGA-II,1005227,2588161
NSGA-II,1004764,2297240
NOOP,1013485,8224
NSGA-II,1000279,1004110
NOOP,1003609,3941
NOOP,1009573,6206
NOOP,1009566,5743
NSGA-II,1005586,2632773
SMS-EMOA,1003916,3018721
m-ACO,1040930,453074
NOOP,1010168,8015
NSGA-II,1023998,4464687
SMS-EMOA,1001431,1808167
SMS-EMOA,1000172,1434656
NSGA-II,1016811,2838149
NOOP,1032774,8046
NSGA-II,1003353,3255324
NOOP,1029666,8919
NOOP,1033790,8278
NOOP,1001300,4728
SMS-EMOA,1008373,3273452
SMS-EMOA,1005862,5554822
NSGA-II,1013101,2572735
NSGA-II,1012442,2716040
NOOP,1000809,2913
NSGA-II,1042979,2137224
SMS-EMOA,1006006,5067994
SMS-EMOA,1003058,2883495
NSGA-II,1010965,2733577
NOOP,1008597,3911
NOOP,1005026,3794
NOOP,1007767,7259
SMS-EMOA,1006253,5988012
SMS-EMOA,1007710,5158827
m-ACO,1008937,3371394
SMS-EMOA,1034902,3458208
NOOP,1005996,4555
m-ACO,1005781,306751
NSGA-II,1013354,2622060
NOOP,1005983,4010
NOOP,1010335,5214
m-ACO,1003382,4242237
NOOP,1003441,6881
NOOP,1003454,4797
SMS-EMOA,1008687,4320633
NSGA-II,1006158,7138631
m-ACO,1046868,399241
NOOP,1014013,8585
NSGA-II,1002445,3287123
NSGA-II,1003106,3241771
NOOP,1014006,8323
NSGA-II,1032233,6530011
SMS-EMOA,1005379,6042254
SMS-EMOA,1001664,1331333
m-ACO,1047813,467979
NOOP,1048382,8534
SMS-EMOA,1000486,2903704
NOOP,1001148,5532
NOOP,1006783,3333
SMS-EMOA,1011436,4474568
NSGA-II,1003848,2294468
NSGA-II,1004290,2870074
NOOP,1006796,4894
SMS-EMOA,1013911,4917347
NSGA-II,1005072,2621147
NOOP,1004967,4312
m-ACO,1008847,3352747
NOOP,1028296,8382
m-ACO,1003760,424602
NOOP,1002901,6746
SMS-EMOA,1006679,4449845
m-ACO,1002207,1525119
SMS-EMOA,1003186,4628533
m-ACO,1013373,454191
m-ACO,1020624,412922
NSGA-II,1004855,2571378
SMS-EMOA,1012136,3697398
NOOP,1013091,8275
NSGA-II,1006572,4176654
NOOP,1003208,7598
m-ACO,1005363,409019
NSGA-II,1046355,2065882
SMS-EMOA,1004210,4503906
SMS-EMOA,1005753,5444322
NOOP,1012060,4090
m-ACO,1005213,400032
NOOP,1005427,8248
NOOP,1005432,3586
NSGA-II,1011317,2701587
m-ACO,1004318,408154
NSGA-II,1002921,2137145
NOOP,1016353,8589
NOOP,1001714,5395
NSGA-II,1001145,1752913
NSGA-II,1005458,2656210
m-ACO,1031620,356582
NOOP,1001701,13696
m-ACO,1002377,3995643
NOOP,1003055,4753
NSGA-II,1034538,6553502
m-ACO,1036703,322878
NSGA-II,1000653,922686
NSGA-II,1001310,811755
m-ACO,1005254,393222
NOOP,1003040,4680
m-ACO,1005638,351362
NSGA-II,1011142,2671087
NSGA-II,1010401,3183381
NOOP,1038247,8187
NOOP,1007373,7974
NSGA-II,1021734,2558498
m-ACO,1013628,139886
SMS-EMOA,1000558,1514955
NOOP,1008833,5157
m-ACO,1003657,420820
SMS-EMOA,1005506,5519636
m-ACO,1012723,424196
NOOP,1013921,8614
m-ACO,1013334,418118
NSGA-II,1003779,3215313
NOOP,1013934,8157
NSGA-II,1006727,4061453
m-ACO,1002240,1899861
m-ACO,1003727,516078
SMS-EMOA,1013620,4820107
NSGA-II,1006086,7393822
SMS-EMOA,1008759,6184670
NSGA-II,1008452,3031341
SMS-EMOA,1002690,2725361
SMS-EMOA,1001955,1497035
SMS-EMOA,1003472,7718833
SMS-EMOA,1002131,3760145
m-ACO,1004643,404705
NOOP,1012228,6269
NOOP,1013656,8005
NOOP,1044659,8337
NOOP,1014088,8129
NSGA-II,1013007,2679856
NOOP,1013643,7860
SMS-EMOA,1005964,5304357
NOOP,1004204,3911
NSGA-II,1010863,2723410
NOOP,1004211,6355
SMS-EMOA,1006100,5246344
m-ACO,1028729,409004
NOOP,1005918,6586
NSGA-II,1002716,3469252
NSGA-II,1003255,2155660
SMS-EMOA,1043996,3315790
SMS-EMOA,1022798,5056737
m-ACO,1026491,410481
SMS-EMOA,1016352,5317786
SMS-EMOA,1009736,10957492
NOOP,1000122,6537
m-ACO,1032884,430775
SMS-EMOA,1001296,1179294
SMS-EMOA,1030602,5106213
NSGA-II,1008830,2858746
SMS-EMOA,1004569,5910294
NOOP,1006718,4777
SMS-EMOA,1010587,4422569
NSGA-II,1005321,2628780
NSGA-II,1004662,2578903
NOOP,1010843,3532
NOOP,1008744,8111
NSGA-II,1005480,2604588
NOOP,1010856,4904
NSGA-II,1006910,3944116
SMS-EMOA,1011530,4891362
m-ACO,1004185,4257195
m-ACO,1001888,1490382
SMS-EMOA,1046572,4957846
NSGA-II,1004437,2644598
m-ACO,1000983,1582301
SMS-EMOA,1013817,7225715
NSGA-II,1001469,3260955
SMS-EMOA,1001762,1204939
SMS-EMOA,1000221,1655391
m-ACO,1002586,3675811
NOOP,1003692,4497
SMS-EMOA,1000580,2847057
NOOP,1001876,3752
NOOP,1008519,4668
NSGA-II,1000864,1237144
SMS-EMOA,1008020,4547725
m-ACO,1003191,4310476
NOOP,1000892,3415
NSGA-II,1002543,3230721
NOOP,1000887,7777
NSGA-II,1003000,3761581
SMS-EMOA,1018272,5912842
SMS-EMOA,1006355,5568656
SMS-EMOA,1007616,4359187
m-ACO,1004499,469974
NOOP,1006550,4962
NSGA-II,1021903,2556894
NOOP,1011117,6118
NOOP,1011102,4501
NSGA-II,1035489,8030186
m-ACO,1020547,416128
m-ACO,1006962,414062
m-ACO,1013010,464484
NSGA-II,1007879,4108933
SMS-EMOA,1015407,3607445
SMS-EMOA,1014144,4610133
NSGA-II,1002827,2144769
m-ACO,1012577,469102
m-ACO,1002508,1490592
m-ACO,1021020,370904
NSGA-II,1048687,2139660
NOOP,1000523,23348
SMS-EMOA,1017920,7418610
m-ACO,1003403,3939648
NSGA-II,1000500,3232028
NSGA-II,1001043,900503
m-ACO,1030154,365844
NOOP,1013242,8103
m-ACO,1005000,382486
m-ACO,1010972,8319247
SMS-EMOA,1004316,5432323
m-ACO,1011879,585608
m-ACO,1001806,1517278
NOOP,1004610,7436
NSGA-II,1010752,2767872
m-ACO,1004567,868034
SMS-EMOA,1036847,3413181
NOOP,1004605,3594
m-ACO,1001976,1962300
NOOP,1015478,8691
m-ACO,1014004,490348
m-ACO,1011909,491124
SMS-EMOA,1012030,4718628
m-ACO,1010802,6200169
NOOP,1042477,8692
m-ACO,1005170,401693
NSGA-II,1029666,4475614
m-ACO,1004417,204098
NSGA-II,1002169,3336079
SMS-EMOA,1012791,2772364
m-ACO,1007919,4887910
m-ACO,1002014,1515219
SMS-EMOA,1002262,4435964
NOOP,1009859,3864
m-ACO,1003573,430782
NOOP,1006319,4302
NSGA-II,1013678,2633461
m-ACO,1002478,1452525
NSGA-II,1022718,2563400
m-ACO,1022875,118455
NOOP,1003293,4002
NOOP,1004458,5201
SMS-EMOA,1001853,1269691
NOOP,1003286,3940
SMS-EMOA,1002796,4195218
m-ACO,1026073,604900
NOOP,1029911,8221
NSGA-II,1008554,3005572
m-ACO,1005137,456275
SMS-EMOA,1048936,5806405
m-ACO,1010845,8074814
NOOP,1044005,8368
SMS-EMOA,1002037,1742683
m-ACO,1001931,1935871
NSGA-II,1006621,4226058
SMS-EMOA,1038788,3798450
m-ACO,1003534,421091
NOOP,1027958,8509
m-ACO,1003158,4287875
NSGA-II,1006180,7194480
m-ACO,1006855,414633
SMS-EMOA,1012265,4953968
NSGA-II,1035833,8006632
NOOP,1006151,5191
m-ACO,1003444,4213845
NSGA-II,1045862,1524512
SMS-EMOA,1007927,4274449
NOOP,1006144,7329
NSGA-II,1011044,3077279
SMS-EMOA,1002979,4562660
m-ACO,1012530,473604
NOOP,1011503,3137
m-ACO,1013057,403761
SMS-EMOA,1004143,3348294
SMS-EMOA,1005400,6239216
NSGA-II,1009959,3129496
m-ACO,1006925,351725
NOOP,1011516,4780
m-ACO,1003028,387292
NOOP,1008118,22445
NSGA-II,1000755,773786
NSGA-II,1001216,1194096
NOOP,1002262,7816
NSGA-II,1004248,2811056
NSGA-II,1030123,4410472
NSGA-II,1031460,4331618
m-ACO,1001841,1836951
m-ACO,1014133,190331
m-ACO,1010935,6491138
SMS-EMOA,1011654,4372498
SMS-EMOA,1012991,4880742
NSGA-II,1005210,2625802
NSGA-II,1004753,2597422
SMS-EMOA,1030733,4884101
NSGA-II,1008901,2818166
SMS-EMOA,1004458,5877231
SMS-EMOA,1001406,1240335
NOOP,1025225,8287
NSGA-II,1041864,2055721
NSGA-II,1015042,2302804
SMS-EMOA,1003921,3078304
NOOP,1001216,5065
SMS-EMOA,1022108,5698328
NSGA-II,1002627,3229204
NSGA-II,1003364,3213953
NOOP,1005125,7812
