algorithm,r_precision,ndcg,clicks
SMS-EMOA,0.07744074726447281,0.1829508490841611,8.0649
NSGA-II,0.07454830735566796,0.18091288177374346,8.1791
NOOP,0.06692824343436941,0.1725153963460821,8.704
m-ACO,0.07804491897676416,0.1703010886083922,8.8715
