Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII__100__25000__0_9__0_005,MPC_1001485,HV,0,0.6913668496061546
NSGAII__100__25000__0_9__0_005,MPC_1001485,HV,1,0.698766160364187
NSGAII__100__25000__0_9__0_005,MPC_1001485,HV,2,0.6766301144572636
NSGAII__100__25000__0_9__0_005,MPC_1042576,HV,0,0.9577487461498858
NSGAII__100__25000__0_9__0_005,MPC_1042576,HV,1,0.9541595310095574
NSGAII__100__25000__0_9__0_005,MPC_1042576,HV,2,0.9579801774324073
NSGAII__100__25000__0_9__0_01,MPC_1045862,HV,0,0.4881958047000941
NSGAII__100__25000__0_9__0_01,MPC_1045862,HV,1,0.45237212876141425
NSGAII__100__25000__0_9__0_01,MPC_1045862,HV,2,0.4850484967806977
NSGAII__100__25000__0_9__0_01,MPC_1005583,HV,0,0.11675848103067418
NSGAII__100__25000__0_9__0_01,MPC_1005583,HV,1,0.120416322206449
NSGAII__100__25000__0_9__0_01,MPC_1005583,HV,2,0.1146032537935397
NSGAII__100__25000__0_9__0_01,MPC_1046202,HV,0,0.7453789383576471
NSGAII__100__25000__0_9__0_01,MPC_1046202,HV,1,0.7304530362679479
NSGAII__100__25000__0_9__0_01,MPC_1046202,HV,2,0.7308697643848525
NSGAII__100__25000__0_9__0_01,MPC_1046653,HV,0,0.823479854582608
NSGAII__100__25000__0_9__0_01,MPC_1046653,HV,1,0.8266254915053165
NSGAII__100__25000__0_9__0_01,MPC_1046653,HV,2,0.8433112827049408
NSGAII__100__25000__0_9__0_01,MPC_1001485,HV,0,0.7004358100781707
NSGAII__100__25000__0_9__0_01,MPC_1001485,HV,1,0.7059824041138298
NSGAII__100__25000__0_9__0_01,MPC_1001485,HV,2,0.6838964825385139
NSGAII__100__25000__0_9__0_01,MPC_1042576,HV,0,0.9577616169793733
NSGAII__100__25000__0_9__0_01,MPC_1042576,HV,1,0.9570351955848961
NSGAII__100__25000__0_9__0_01,MPC_1042576,HV,2,0.9595333401104955
NSGAII__100__25000__0_9__0_015,MPC_1045862,HV,0,0.47550102660431026
NSGAII__100__25000__0_9__0_015,MPC_1045862,HV,1,0.45484217173365404
NSGAII__100__25000__0_9__0_015,MPC_1045862,HV,2,0.4626912113713373
NSGAII__100__25000__0_9__0_015,MPC_1005583,HV,0,0.11899778002032174
NSGAII__100__25000__0_9__0_015,MPC_1005583,HV,1,0.11107606469036843
NSGAII__100__25000__0_9__0_015,MPC_1005583,HV,2,0.1184436360841346
NSGAII__100__25000__0_9__0_015,MPC_1046202,HV,0,0.7406269547432979
NSGAII__100__25000__0_9__0_015,MPC_1046202,HV,1,0.7232468405565904
NSGAII__100__25000__0_9__0_015,MPC_1046202,HV,2,0.7324881209964067
NSGAII__100__25000__0_9__0_015,MPC_1046653,HV,0,0.8308678172184298
NSGAII__100__25000__0_9__0_015,MPC_1046653,HV,1,0.8134568342622771
NSGAII__100__25000__0_9__0_015,MPC_1046653,HV,2,0.82045298734422
NSGAII__100__25000__0_9__0_015,MPC_1001485,HV,0,0.6979036245457678
NSGAII__100__25000__0_9__0_015,MPC_1001485,HV,1,0.6737276843686866
NSGAII__100__25000__0_9__0_015,MPC_1001485,HV,2,0.7117471413688159
NSGAII__100__25000__0_9__0_015,MPC_1042576,HV,0,0.9663390938256575
NSGAII__100__25000__0_9__0_015,MPC_1042576,HV,1,0.9565138001544309
NSGAII__100__25000__0_9__0_015,MPC_1042576,HV,2,0.9605397043940908
NSGAII__100__25000__0_95__0_005,MPC_1045862,HV,0,0.4629017679790337
NSGAII__100__25000__0_95__0_005,MPC_1045862,HV,1,0.48152899751867906
NSGAII__100__25000__0_95__0_005,MPC_1045862,HV,2,0.5150635983967702
NSGAII__100__25000__0_95__0_005,MPC_1005583,HV,0,0.1153119894817564
NSGAII__100__25000__0_95__0_005,MPC_1005583,HV,1,0.11339146257161929
NSGAII__100__25000__0_95__0_005,MPC_1005583,HV,2,0.11912104491055431
NSGAII__100__25000__0_95__0_005,MPC_1046202,HV,0,0.7383376614215744
NSGAII__100__25000__0_95__0_005,MPC_1046202,HV,1,0.740592523202243
NSGAII__100__25000__0_95__0_005,MPC_1046202,HV,2,0.724079279093131
NSGAII__100__25000__0_95__0_005,MPC_1046653,HV,0,0.8416260993521405
NSGAII__100__25000__0_95__0_005,MPC_1046653,HV,1,0.8265326528710455
NSGAII__100__25000__0_95__0_005,MPC_1046653,HV,2,0.838286755055848
NSGAII__100__25000__0_95__0_005,MPC_1001485,HV,0,0.6913808972423824
NSGAII__100__25000__0_95__0_005,MPC_1001485,HV,1,0.7090065825823783
NSGAII__100__25000__0_95__0_005,MPC_1001485,HV,2,0.6864931725866393
NSGAII__100__25000__0_95__0_005,MPC_1042576,HV,0,0.962127977699165
NSGAII__100__25000__0_95__0_005,MPC_1042576,HV,1,0.9647165395830181
NSGAII__100__25000__0_95__0_005,MPC_1042576,HV,2,0.9662105498521278
NSGAII__100__25000__0_95__0_01,MPC_1045862,HV,0,0.4948425439079439
NSGAII__100__25000__0_95__0_01,MPC_1045862,HV,1,0.46538781883995567
NSGAII__100__25000__0_95__0_01,MPC_1045862,HV,2,0.49733697469656446
NSGAII__100__25000__0_95__0_01,MPC_1005583,HV,0,0.11676668727647715
NSGAII__100__25000__0_95__0_01,MPC_1005583,HV,1,0.11368714252965037
NSGAII__100__25000__0_95__0_01,MPC_1005583,HV,2,0.12158401237893793
NSGAII__100__25000__0_95__0_01,MPC_1046202,HV,0,0.7359323436641535
NSGAII__100__25000__0_95__0_01,MPC_1046202,HV,1,0.737557018594262
NSGAII__100__25000__0_95__0_01,MPC_1046202,HV,2,0.7305374001562409
NSGAII__100__25000__0_95__0_01,MPC_1046653,HV,0,0.8190712041244762
NSGAII__100__25000__0_95__0_01,MPC_1046653,HV,1,0.8358502189019689
NSGAII__100__25000__0_95__0_01,MPC_1046653,HV,2,0.8334609391824646
NSGAII__100__25000__0_95__0_01,MPC_1001485,HV,0,0.6984768297233078
NSGAII__100__25000__0_95__0_01,MPC_1001485,HV,1,0.7026862104666232
NSGAII__100__25000__0_95__0_01,MPC_1001485,HV,2,0.6908411571450527
NSGAII__100__25000__0_95__0_01,MPC_1042576,HV,0,0.9600927378946285
NSGAII__100__25000__0_95__0_01,MPC_1042576,HV,1,0.96272948898711
NSGAII__100__25000__0_95__0_01,MPC_1042576,HV,2,0.9575008339944735
NSGAII__100__25000__0_95__0_015,MPC_1045862,HV,0,0.47680646471329513
NSGAII__100__25000__0_95__0_015,MPC_1045862,HV,1,0.4744474387605074
NSGAII__100__25000__0_95__0_015,MPC_1045862,HV,2,0.4765341670499317
NSGAII__100__25000__0_95__0_015,MPC_1005583,HV,0,0.12492368236896056
